county,species,month,hour,n_collisions,risk_score
Blekinge,Fallow Deer,1,0,2,0.0400
Blekinge,Fallow Deer,1,2,1,0.0000
Blekinge,Fallow Deer,1,4,1,0.0000
Blekinge,Fallow Deer,1,5,1,0.0000
Blekinge,Fallow Deer,1,6,5,0.1600
Blekinge,Fallow Deer,1,7,1,0.0000
Blekinge,Fallow Deer,1,8,1,0.0000
Blekinge,Fallow Deer,1,9,1,0.0000
Blekinge,Fallow Deer,1,11,1,0.0000
Blekinge,Fallow Deer,1,13,1,0.0000
Blekinge,Fallow Deer,1,14,1,0.0000
Blekinge,Fallow Deer,1,15,1,0.0000
Blekinge,Fallow Deer,1,16,6,0.2000
Blekinge,Fallow Deer,1,17,14,0.5200
Blekinge,Fallow Deer,1,18,8,0.2800
Blekinge,Fallow Deer,1,19,6,0.2000
Blekinge,Fallow Deer,1,20,8,0.2800
Blekinge,Fallow Deer,1,21,1,0.0000
Blekinge,Fallow Deer,1,22,3,0.0800
Blekinge,Fallow Deer,1,23,1,0.0000
Blekinge,Fallow Deer,2,0,1,0.0000
Blekinge,Fallow Deer,2,2,1,0.0000
Blekinge,Fallow Deer,2,3,1,0.0000
Blekinge,Fallow Deer,2,4,1,0.0000
Blekinge,Fallow Deer,2,5,2,0.0400
Blekinge,Fallow Deer,2,6,4,0.1200
Blekinge,Fallow Deer,2,7,3,0.0800
Blekinge,Fallow Deer,2,8,3,0.0800
Blekinge,Fallow Deer,2,9,1,0.0000
Blekinge,Fallow Deer,2,10,1,0.0000
Blekinge,Fallow Deer,2,11,3,0.0800
Blekinge,Fallow Deer,2,12,1,0.0000
Blekinge,Fallow Deer,2,14,1,0.0000
Blekinge,Fallow Deer,2,15,2,0.0400
Blekinge,Fallow Deer,2,16,3,0.0800
Blekinge,Fallow Deer,2,17,4,0.1200
Blekinge,Fallow Deer,2,18,6,0.2000
Blekinge,Fallow Deer,2,19,7,0.2400
Blekinge,Fallow Deer,2,20,3,0.0800
Blekinge,Fallow Deer,2,21,3,0.0800
Blekinge,Fallow Deer,2,22,1,0.0000
Blekinge,Fallow Deer,2,23,2,0.0400
Blekinge,Fallow Deer,3,1,1,0.0000
Blekinge,Fallow Deer,3,5,1,0.0000
Blekinge,Fallow Deer,3,6,2,0.0400
Blekinge,Fallow Deer,3,8,3,0.0800
Blekinge,Fallow Deer,3,11,1,0.0000
Blekinge,Fallow Deer,3,12,1,0.0000
Blekinge,Fallow Deer,3,14,1,0.0000
Blekinge,Fallow Deer,3,18,4,0.1200
Blekinge,Fallow Deer,3,19,3,0.0800
Blekinge,Fallow Deer,3,20,2,0.0400
Blekinge,Fallow Deer,3,21,2,0.0400
Blekinge,Fallow Deer,3,23,3,0.0800
Blekinge,Fallow Deer,4,0,1,0.0000
Blekinge,Fallow Deer,4,4,1,0.0000
Blekinge,Fallow Deer,4,5,2,0.0400
Blekinge,Fallow Deer,4,6,3,0.0800
Blekinge,Fallow Deer,4,7,3,0.0800
Blekinge,Fallow Deer,4,8,1,0.0000
Blekinge,Fallow Deer,4,10,1,0.0000
Blekinge,Fallow Deer,4,12,1,0.0000
Blekinge,Fallow Deer,4,14,1,0.0000
Blekinge,Fallow Deer,4,15,1,0.0000
Blekinge,Fallow Deer,4,20,1,0.0000
Blekinge,Fallow Deer,4,21,2,0.0400
Blekinge,Fallow Deer,4,22,1,0.0000
Blekinge,Fallow Deer,4,23,2,0.0400
Blekinge,Fallow Deer,5,0,2,0.0400
Blekinge,Fallow Deer,5,1,1,0.0000
Blekinge,Fallow Deer,5,4,1,0.0000
Blekinge,Fallow Deer,5,6,3,0.0800
Blekinge,Fallow Deer,5,7,1,0.0000
Blekinge,Fallow Deer,5,8,1,0.0000
Blekinge,Fallow Deer,5,11,1,0.0000
Blekinge,Fallow Deer,5,13,1,0.0000
Blekinge,Fallow Deer,5,15,2,0.0400
Blekinge,Fallow Deer,5,16,1,0.0000
Blekinge,Fallow Deer,5,18,1,0.0000
Blekinge,Fallow Deer,5,19,1,0.0000
Blekinge,Fallow Deer,5,20,1,0.0000
Blekinge,Fallow Deer,5,21,3,0.0800
Blekinge,Fallow Deer,5,22,6,0.2000
Blekinge,Fallow Deer,5,23,5,0.1600
Blekinge,Fallow Deer,6,0,4,0.1200
Blekinge,Fallow Deer,6,1,1,0.0000
Blekinge,Fallow Deer,6,2,2,0.0400
Blekinge,Fallow Deer,6,3,2,0.0400
Blekinge,Fallow Deer,6,9,1,0.0000
Blekinge,Fallow Deer,6,10,2,0.0400
Blekinge,Fallow Deer,6,14,2,0.0400
Blekinge,Fallow Deer,6,16,1,0.0000
Blekinge,Fallow Deer,6,20,2,0.0400
Blekinge,Fallow Deer,6,22,4,0.1200
